date,fx_rate_usd_ngn
2009-11-09,148.88
2009-11-16,148.88
2009-11-23,148.88
2009-11-30,148.88
2009-12-07,148.88
2009-12-14,148.88
2009-12-21,148.88
2009-12-28,148.88
2010-01-04,150.3
2010-01-11,150.3
2010-01-18,150.3
2010-01-25,150.3
2010-02-01,150.3
2010-02-08,150.3
2010-02-15,150.3
2010-02-22,150.3
2010-03-01,150.3
2010-03-08,150.3
2010-03-15,150.3
2010-03-22,150.3
2010-03-29,150.3
2010-04-05,150.3
2010-04-12,150.3
2010-04-19,150.3
2010-04-26,150.3
2010-05-03,150.3
2010-05-10,150.3
2010-05-17,150.3
2010-05-24,150.3
2010-05-31,150.3
2010-06-07,150.3
2010-06-14,150.3
2010-06-21,150.3
2010-06-28,150.3
2010-07-05,150.3
2010-07-12,150.3
2010-07-19,150.3
2010-07-26,150.3
2010-08-02,150.3
2010-08-09,150.3
2010-08-16,150.3
2010-08-23,150.3
2010-08-30,150.3
2010-09-06,150.3
2010-09-13,150.3
2010-09-20,150.3
2010-09-27,150.3
2010-10-04,150.3
2010-10-11,150.3
2010-10-18,150.3
2010-10-25,150.3
2010-11-01,150.3
2010-11-08,150.3
2010-11-15,150.3
2010-11-22,150.3
2010-11-29,150.3
2010-12-06,150.3
2010-12-13,150.3
2010-12-20,150.3
2010-12-27,150.3
2011-01-03,153.86
2011-01-10,153.86
2011-01-17,153.86
2011-01-24,153.86
2011-01-31,153.86
2011-02-07,153.86
2011-02-14,153.86
2011-02-21,153.86
2011-02-28,153.86
2011-03-07,153.86
2011-03-14,153.86
2011-03-21,153.86
2011-03-28,153.86
2011-04-04,153.86
2011-04-11,153.86
2011-04-18,153.86
2011-04-25,153.86
2011-05-02,153.86
2011-05-09,153.86
2011-05-16,153.86
2011-05-23,153.86
2011-05-30,153.86
2011-06-06,153.86
2011-06-13,153.86
2011-06-20,153.86
2011-06-27,153.86
2011-07-04,153.86
2011-07-11,153.86
2011-07-18,153.86
2011-07-25,153.86
2011-08-01,153.86
2011-08-08,153.86
2011-08-15,153.86
2011-08-22,153.86
2011-08-29,153.86
2011-09-05,153.86
2011-09-12,153.86
2011-09-19,153.86
2011-09-26,153.86
2011-10-03,153.86
2011-10-10,153.86
2011-10-17,153.86
2011-10-24,153.86
2011-10-31,153.86
2011-11-07,153.86
2011-11-14,153.86
2011-11-21,153.86
2011-11-28,153.86
2011-12-05,153.86
2011-12-12,153.86
2011-12-19,153.86
2011-12-26,153.86
2012-01-02,157.5
2012-01-09,157.5
2012-01-16,157.5
2012-01-23,157.5
2012-01-30,157.5
2012-02-06,157.5
2012-02-13,157.5
2012-02-20,157.5
2012-02-27,157.5
2012-03-05,157.5
2012-03-12,157.5
2012-03-19,157.5
2012-03-26,157.5
2012-04-02,157.5
2012-04-09,157.5
2012-04-16,157.5
2012-04-23,157.5
2012-04-30,157.5
2012-05-07,157.5
2012-05-14,157.5
2012-05-21,157.5
2012-05-28,157.5
2012-06-04,157.5
2012-06-11,157.5
2012-06-18,157.5
2012-06-25,157.5
2012-07-02,157.5
2012-07-09,157.5
2012-07-16,157.5
2012-07-23,157.5
2012-07-30,157.5
2012-08-06,157.5
2012-08-13,157.5
2012-08-20,157.5
2012-08-27,157.5
2012-09-03,157.5
2012-09-10,157.5
2012-09-17,157.5
2012-09-24,157.5
2012-10-01,157.5
2012-10-08,157.5
2012-10-15,157.5
2012-10-22,157.5
2012-10-29,157.5
2012-11-05,157.5
2012-11-12,157.5
2012-11-19,157.5
2012-11-26,157.5
2012-12-03,157.5
2012-12-10,157.5
2012-12-17,157.5
2012-12-24,157.5
2012-12-31,157.5
2013-01-07,157.31
2013-01-14,157.31
2013-01-21,157.31
2013-01-28,157.31
2013-02-04,157.31
2013-02-11,157.31
2013-02-18,157.31
2013-02-25,157.31
2013-03-04,157.31
2013-03-11,157.31
2013-03-18,157.31
2013-03-25,157.31
2013-04-01,157.31
2013-04-08,157.31
2013-04-15,157.31
2013-04-22,157.31
2013-04-29,157.31
2013-05-06,157.31
2013-05-13,157.31
2013-05-20,157.31
2013-05-27,157.31
2013-06-03,157.31
2013-06-10,157.31
2013-06-17,157.31
2013-06-24,157.31
2013-07-01,157.31
2013-07-08,157.31
2013-07-15,157.31
2013-07-22,157.31
2013-07-29,157.31
2013-08-05,157.31
2013-08-12,157.31
2013-08-19,157.31
2013-08-26,157.31
2013-09-02,157.31
2013-09-09,157.31
2013-09-16,157.31
2013-09-23,157.31
2013-09-30,157.31
2013-10-07,157.31
2013-10-14,157.31
2013-10-21,157.31
2013-10-28,157.31
2013-11-04,157.31
2013-11-11,157.31
2013-11-18,157.31
2013-11-25,157.31
2013-12-02,157.31
2013-12-09,157.31
2013-12-16,157.31
2013-12-23,157.31
2013-12-30,157.31
2014-01-06,158.55
2014-01-13,158.55
2014-01-20,158.55
2014-01-27,158.55
2014-02-03,158.55
2014-02-10,158.55
2014-02-17,158.55
2014-02-24,158.55
2014-03-03,158.55
2014-03-10,158.55
2014-03-17,158.55
2014-03-24,158.55
2014-03-31,158.55
2014-04-07,158.55
2014-04-14,158.55
2014-04-21,158.55
2014-04-28,158.55
2014-05-05,158.55
2014-05-12,158.55
2014-05-19,158.55
2014-05-26,158.55
2014-06-02,158.55
2014-06-09,158.55
2014-06-16,158.55
2014-06-23,158.55
2014-06-30,158.55
2014-07-07,158.55
2014-07-14,158.55
2014-07-21,158.55
2014-07-28,158.55
2014-08-04,158.55
2014-08-11,158.55
2014-08-18,158.55
2014-08-25,158.55
2014-09-01,158.55
2014-09-08,158.55
2014-09-15,158.55
2014-09-22,158.55
2014-09-29,158.55
2014-10-06,158.55
2014-10-13,158.55
2014-10-20,158.55
2014-10-27,158.55
2014-11-03,158.55
2014-11-10,158.55
2014-11-17,158.55
2014-11-24,158.55
2014-12-01,158.55
2014-12-08,158.55
2014-12-15,158.55
2014-12-22,158.55
2014-12-29,158.55
2015-01-05,193.28
2015-01-12,193.28
2015-01-19,193.28
2015-01-26,193.28
2015-02-02,193.28
2015-02-09,193.28
2015-02-16,193.28
2015-02-23,193.28
2015-03-02,193.28
2015-03-09,193.28
2015-03-16,193.28
2015-03-23,193.28
2015-03-30,193.28
2015-04-06,193.28
2015-04-13,193.28
2015-04-20,193.28
2015-04-27,193.28
2015-05-04,193.28
2015-05-11,193.28
2015-05-18,193.28
2015-05-25,193.28
2015-06-01,193.28
2015-06-08,193.28
2015-06-15,193.28
2015-06-22,193.28
2015-06-29,193.28
2015-07-06,193.28
2015-07-13,193.28
2015-07-20,193.28
2015-07-27,193.28
2015-08-03,193.28
2015-08-10,193.28
2015-08-17,193.28
2015-08-24,193.28
2015-08-31,193.28
2015-09-07,193.28
2015-09-14,193.28
2015-09-21,193.28
2015-09-28,193.28
2015-10-05,193.28
2015-10-12,193.28
2015-10-19,193.28
2015-10-26,193.28
2015-11-02,193.28
2015-11-09,193.28
2015-11-16,193.28
2015-11-23,193.28
2015-11-30,193.28
2015-12-07,193.28
2015-12-14,193.28
2015-12-21,193.28
2015-12-28,193.28
2016-01-04,199.0
2016-01-11,199.0
2016-01-18,199.0
2016-01-25,199.0
2016-02-01,199.0
2016-02-08,199.0
2016-02-15,199.0
2016-02-22,199.0
2016-02-29,199.0
2016-03-07,199.0
2016-03-14,199.0
2016-03-21,199.0
2016-03-28,199.0
2016-04-04,199.0
2016-04-11,199.0
2016-04-18,199.0
2016-04-25,199.0
2016-05-02,199.0
2016-05-09,199.0
2016-05-16,199.0
2016-05-23,199.0
2016-05-30,199.0
2016-06-06,199.0
2016-06-13,199.0
2016-06-20,305.0
2016-06-27,305.0
2016-07-04,305.0
2016-07-11,305.0
2016-07-18,305.0
2016-07-25,305.0
2016-08-01,305.0
2016-08-08,305.0
2016-08-15,305.0
2016-08-22,305.0
2016-08-29,305.0
2016-09-05,305.0
2016-09-12,305.0
2016-09-19,305.0
2016-09-26,305.0
2016-10-03,305.0
2016-10-10,305.0
2016-10-17,305.0
2016-10-24,305.0
2016-10-31,305.0
2016-11-07,305.0
2016-11-14,305.0
2016-11-21,305.0
2016-11-28,305.0
2016-12-05,305.0
2016-12-12,305.0
2016-12-19,305.0
2016-12-26,305.0
2017-01-02,305.79
2017-01-09,305.79
2017-01-16,305.79
2017-01-23,305.79
2017-01-30,305.79
2017-02-06,305.79
2017-02-13,305.79
2017-02-20,305.79
2017-02-27,305.79
2017-03-06,305.79
2017-03-13,305.79
2017-03-20,305.79
2017-03-27,305.79
2017-04-03,305.79
2017-04-10,305.79
2017-04-17,305.79
2017-04-24,305.79
2017-05-01,305.79
2017-05-08,305.79
2017-05-15,305.79
2017-05-22,305.79
2017-05-29,305.79
2017-06-05,305.79
2017-06-12,305.79
2017-06-19,305.79
2017-06-26,305.79
2017-07-03,305.79
2017-07-10,305.79
2017-07-17,305.79
2017-07-24,305.79
2017-07-31,305.79
2017-08-07,305.79
2017-08-14,305.79
2017-08-21,305.79
2017-08-28,305.79
2017-09-04,305.79
2017-09-11,305.79
2017-09-18,305.79
2017-09-25,305.79
2017-10-02,305.79
2017-10-09,305.79
2017-10-16,305.79
2017-10-23,305.79
2017-10-30,305.79
2017-11-06,305.79
2017-11-13,305.79
2017-11-20,305.79
2017-11-27,305.79
2017-12-04,305.79
2017-12-11,305.79
2017-12-18,305.79
2017-12-25,305.79
2018-01-01,306.08
2018-01-08,306.08
2018-01-15,306.08
2018-01-22,306.08
2018-01-29,306.08
2018-02-05,306.08
2018-02-12,306.08
2018-02-19,306.08
2018-02-26,306.08
2018-03-05,306.08
2018-03-12,306.08
2018-03-19,306.08
2018-03-26,306.08
2018-04-02,306.08
2018-04-09,306.08
2018-04-16,306.08
2018-04-23,306.08
2018-04-30,306.08
2018-05-07,306.08
2018-05-14,306.08
2018-05-21,306.08
2018-05-28,306.08
2018-06-04,306.08
2018-06-11,306.08
2018-06-18,306.08
2018-06-25,306.08
2018-07-02,306.08
2018-07-09,306.08
2018-07-16,306.08
2018-07-23,306.08
2018-07-30,306.08
2018-08-06,306.08
2018-08-13,306.08
2018-08-20,306.08
2018-08-27,306.08
2018-09-03,306.08
2018-09-10,306.08
2018-09-17,306.08
2018-09-24,306.08
2018-10-01,306.08
2018-10-08,306.08
2018-10-15,306.08
2018-10-22,306.08
2018-10-29,306.08
2018-11-05,306.08
2018-11-12,306.08
2018-11-19,306.08
2018-11-26,306.08
2018-12-03,306.08
2018-12-10,306.08
2018-12-17,306.08
2018-12-24,306.08
2018-12-31,306.08
2019-01-07,306.92
2019-01-14,306.92
2019-01-21,306.92
2019-01-28,306.92
2019-02-04,306.92
2019-02-11,306.92
2019-02-18,306.92
2019-02-25,306.92
2019-03-04,306.92
2019-03-11,306.92
2019-03-18,306.92
2019-03-25,306.92
2019-04-01,306.92
2019-04-08,306.92
