2026-04-11 15:39:04.872 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-05-30 | ₦119,351/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-06-06 | ₦99,512/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-06-13 | ₦110,663/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-06-20 | ₦108,282/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-06-27 | ₦107,031/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-07-04 | ₦108,297/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-07-11 | ₦101,560/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-07-18 | ₦107,288/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-07-25 | ₦109,157/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-08-01 | ₦115,295/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-08-08 | ₦108,683/MT | Below hard floor 500,000
2026-04-11 15:39:04.874 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-08-15 | ₦107,722/MT | Below hard floor 500,000
2026-04-11 15:39:04.885 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-08-22 | ₦108,738/MT | Below hard floor 500,000
2026-04-11 15:39:04.886 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-08-29 | ₦113,432/MT | Below hard floor 500,000
2026-04-11 15:39:04.887 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-09-05 | ₦115,124/MT | Below hard floor 500,000
2026-04-11 15:39:04.888 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-09-12 | ₦112,188/MT | Below hard floor 500,000
2026-04-11 15:39:04.889 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-09-19 | ₦115,755/MT | Below hard floor 500,000
2026-04-11 15:39:04.889 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-09-26 | ₦114,332/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-10-03 | ₦121,017/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-10-10 | ₦115,123/MT | Below hard floor 500,000
